ID,Dataset,Video with mistake ID,Step ID,Correct Procedure,Procedure with mistake,Error Validity,Text Plausibility,Confusability / Difficulty to Notice,Procedure Logic,Procedure Logic (Annotator Confidence),Sequence Consistency Score,State-Change Coherence,Taxonomy Fit (Error Type),Video Plausibility,Text–Video Grounding Consistency (episode-level),m,n_yes,n_no,agree_pairs,total_pairs
"CaptainCook4D 22_26 9 ""Scoop the tomatoes from the pan""",CaptainCook4D,22_26,9.0,"""Scoop the tomatoes from the pan""","""Scoop the tomatoes from the pan""",1.0,2.0,1.5,0.0,3.0,5.0,0.0,D (100%),5.0,,,,,0.0,
"CaptainCook4D 22_26 10 ""Pour the tomatoes into the pan instead of putting them""",CaptainCook4D,22_26,10.0,"""Put tomatoes on a serving plate""","""Pour the tomatoes into the pan instead of putting them""",1.0,3.0,2.0,0.0,3.0,5.0,0.0,WE (100%),5.0,,,,,0.0,
"CaptainCook4D 22_26 12 ""Stir gently with a steel spoon so the egg that sets on the base of the pan moves to enable the uncooked egg to flow into the space""",CaptainCook4D,22_26,12.0,"""Stir gently with a wooden spoon so the egg that sets on the base of the pan moves to enable the uncooked egg to flow into the space""","""Stir gently with a steel spoon so the egg that sets on the base of the pan moves to enable the uncooked egg to flow into the space""",0.0,3.5,3.0,0.0,3.0,5.0,0.0,WE (100%),5.0,,,,,0.0,
"CaptainCook4D 22_26 13 ""Stop stirring when it's fully cooked to allow it to fall into small pieces""",CaptainCook4D,22_26,13.0,"""Stop stirring when it's nearly cooked to allow it to set into an omelette""","""Stop stirring when it's fully cooked to allow it to fall into small pieces""",1.0,2.5,1.0,0.0,3.0,5.0,0.0,WE (100%),5.0,,,,,0.0,
CaptainCook4D 23_24 0 23_24,CaptainCook4D,23_24,0.0,23_1,23_24,,,,,,,,,,4.333333333,,,,0.0,
"CaptainCook4D 23_24 10 ""Add 1/2 tablespoon minced ginger to the bowl""",CaptainCook4D,23_24,10.0,"""Add 2 cloves minced garlic to the bowl""","""Add 1/2 tablespoon minced ginger to the bowl""",1.0,2.75,3.0,0.3333333333,3.0,4.666666667,0.0,D (100%),3.666666667,,,,,0.0,
CaptainCook4D 25_40 0 25_40,CaptainCook4D,25_40,0.0,25_1,25_40,,,,,,,,,,3.0,,,,0.0,
"CaptainCook4D 25_40 0 ""Cut 1/4 block or 3 ounces of fresh tofu into small cubes (about 1 in x 1 in)""",CaptainCook4D,25_40,0.0,"""Cut 1/4 block or 3 ounces of fresh tofu into large cubes (about 1 in x 1 in)""","""Cut 1/4 block or 3 ounces of fresh tofu into small cubes (about 1 in x 1 in)""",1.0,4.5,2.0,0.0,3.0,4.666666667,0.0,WE (100%),4.666666667,,,,,0.0,
"CaptainCook4D 25_40 1 ""Add 1/4 tbsp salt to the pan""",CaptainCook4D,25_40,1.0,"""Pat tofu dry with a towel""","""Add 1/4 tbsp salt to the pan""",1.0,2.75,4.0,0.3333333333,3.0,4.666666667,0.0,"WE (67%), T (33%)",4.333333333,,,,,0.0,
"CaptainCook4D 25_40 4 ""Drop a few tofu cubes when add the tofu cubes to the pan""",CaptainCook4D,25_40,4.0,"""Add 1/4 tsp salt to the pan""","""Drop a few tofu cubes when add the tofu cubes to the pan""",0.0,4.0,1.0,0.0,2.333333333,4.666666667,0.0,WE (100%),4.333333333,,,,,0.0,
"CaptainCook4D 25_40 6 ""Cook 2 to 3 minutes.""",CaptainCook4D,25_40,6.0,"""Cook 5 to 6 minutes until tofu cubes are lightly browned on the bottom""","""Cook 2 to 3 minutes.""",1.0,5.0,3.75,0.3333333333,2.666666667,4.666666667,0.0,WE (100%),4.333333333,,,,,0.0,
"CaptainCook4D 25_40 11 ""Remove from the heat again and Placing it on a non-heat resistant surface""",CaptainCook4D,25_40,11.0,"""Briefly remove from the heat again""","""Remove from the heat again and Placing it on a non-heat resistant surface""",0.0,3.5,2.75,0.0,2.666666667,4.666666667,0.0,WE (100%),4.0,,,,,0.0,
"CaptainCook4D 25_40 12 ""Drizzle with the 2 tablespoons sesame oil on the pan""",CaptainCook4D,25_40,12.0,"""Drizzle 1 tablespoon soy sauce (watch for spitting) on the pan""","""Drizzle with the 2 tablespoons sesame oil on the pan""",1.0,4.0,2.25,0.0,2.666666667,4.666666667,0.0,WE (100%),4.333333333,,,,,0.0,
"CaptainCook4D 25_40 14 ""Return to medium heat""",CaptainCook4D,25_40,14.0,"""Return to low heat""","""Return to medium heat""",1.0,4.75,4.5,0.0,2.666666667,4.666666667,0.0,WE (100%),4.333333333,,,,,0.0,
"CaptainCook4D 25_40 15 ""Cook for 1.5 minutes""",CaptainCook4D,25_40,15.0,"""Cook pan for 2 minutes""","""Cook for 1.5 minutes""",1.0,4.75,5.0,0.0,3.0,4.666666667,0.0,WE (100%),4.333333333,,,,,0.0,
"CaptainCook4D 25_40 16 ""Spilt some tofu pieces and oil while flipping tofu on the pan, did not flip all the tofu pieces""",CaptainCook4D,25_40,16.0,"""Flip tofu on the pan""","""Spilt some tofu pieces and oil while flipping tofu on the pan, did not flip all the tofu pieces""",1.0,4.75,2.25,0.0,3.0,4.666666667,0.0,WE (100%),4.333333333,,,,,0.0,
"CaptainCook4D 25_40 17 ""Cook pan for 3 minutes until the colour is darkened""",CaptainCook4D,25_40,17.0,"""Cook pan for 2 minutes until the colour is darkened""","""Cook pan for 3 minutes until the colour is darkened""",0.0,4.75,4.0,0.0,3.0,4.666666667,0.0,WE (100%),4.333333333,,,,,0.0,
"CaptainCook4D 26_24 3 ""Place the paper cupcake liner inside the wrong shaped mug""",CaptainCook4D,26_24,3.0,"""Measure and add 1.5 tbsp sugar to the mixing bowl""","""Place the paper cupcake liner inside the wrong shaped mug""",0.0,4.0,1.5,0.0,3.0,4.333333333,0.3333333333,WE (100%),4.0,,,,,0.0,
CaptainCook4D 27_26 0 27_26,CaptainCook4D,27_26,0.0,27_4,27_26,,,,,,,,,,3.0,,,,0.0,
"CaptainCook4D 27_26 0 ""Add 1/3 cup cheddar cheese to a microwave-safe cup but spill""",CaptainCook4D,27_26,0.0,"""Add 1 tablespoons of water to the bowl""","""Add 1/3 cup cheddar cheese to a microwave-safe cup but spill""",0.0,4.0,1.75,0.0,2.333333333,4.666666667,0.0,"WE (67%), T (33%)",3.333333333,,,,,0.0,
"CaptainCook4D 27_26 2 ""Place the chopped pepper in the microwave-safe bowl but spill""",CaptainCook4D,27_26,2.0,"""Chop 1/4 red bell pepper into tiny bits""","""Place the chopped pepper in the microwave-safe bowl but spill""",0.0,4.0,1.75,0.0,2.666666667,4.666666667,0.0,"WE (67%), T (33%)",4.666666667,,,,,0.0,
"CaptainCook4D 27_26 4 ""Melt the cheese by microwaving cup for 30 sec. (Check after 30 seconds and microwave for 10 seconds more if needed). Cheese has not melted after 30 seconds",CaptainCook4D,27_26,4.0,"""Place the chopped pepper in the microwave-safe bowl""","""Melt the cheese by microwaving cup for 30 sec. (Check after 30 seconds and microwave for 10 seconds more if needed). Cheese has not melted after 30 seconds",1.0,4.75,2.5,0.3333333333,2.666666667,4.666666667,0.0,WE (100%),5.0,,,,,0.0,
"CaptainCook4D 27_26 5 ""Microwave the bowl, covered, for 2 minutes""",CaptainCook4D,27_26,5.0,"""Microwave the bowl, covered, for 2 minutes","""Microwave the bowl, covered, for 2 minutes""",1.0,2.25,3.5,0.3333333333,3.0,4.666666667,0.0,D (100%),3.666666667,,,,,0.0,
"CaptainCook4D 27_26 6 ""Mix the cheese and red bell pepper in the bowl but spill""",CaptainCook4D,27_26,6.0,"""Mix the cheese and red bell pepper in the bowl""","""Mix the cheese and red bell pepper in the bowl but spill""",0.0,3.25,2.5,0.0,2.666666667,4.666666667,0.0,WE (100%),4.0,,,,,0.0,
"CaptainCook4D 27_26 7 ""Add 1/2 tbsp softened butter to the bowl with hands""",CaptainCook4D,27_26,7.0,"""Add 1/4 teaspoon salt to the bowl""","""Add 1/2 tbsp softened butter to the bowl with hands""",0.0,3.5,1.0,0.0,2.666666667,4.666666667,0.0,"WE (67%), T (33%)",4.0,,,,,0.0,
"CaptainCook4D 27_26 8 ""Add 1/4 teaspoon pepper to the bowl and spill while adding""",CaptainCook4D,27_26,8.0,"""Add 1/2 tbsp softened butter to the bowl""","""Add 1/4 teaspoon pepper to the bowl and spill while adding""",0.0,3.75,2.0,0.0,2.666666667,4.666666667,0.0,"WE (67%), T (33%)",3.333333333,,,,,0.0,
"CaptainCook4D 27_26 9 ""Add 1/4 teaspoon salt to the bowl and spill while adding""",CaptainCook4D,27_26,9.0,"""Add 1/4 teaspoon pepper to the bowl""","""Add 1/4 teaspoon salt to the bowl and spill while adding""",0.0,3.75,2.0,0.0,2.666666667,4.666666667,0.0,WE (100%),3.666666667,,,,,0.0,
CaptainCook4D 28_26 0 28_26,CaptainCook4D,28_26,0.0,28_2,28_26,,,,,,,,,,2.0,,,,0.0,
"CaptainCook4D 28_26 2 ""Add 1 cup mayonnaise to the bowl""",CaptainCook4D,28_26,2.0,"""Drain excess water from can""","""Add 1 cup mayonnaise to the bowl""",1.0,3.75,3.25,0.3333333333,2.333333333,4.666666667,0.0,"WE (67%), T (33%)",4.0,,,,,0.0,
"CaptainCook4D 28_26 3 ""Chop 1 scallion bunch not using the cutting board""",CaptainCook4D,28_26,3.0,"""Lay out 2 large lettuce leaves""","""Chop 1 scallion bunch not using the cutting board""",1.0,2.5,1.5,0.0,2.666666667,4.666666667,0.0,"WE (67%), T (33%)",4.0,,,,,0.0,
"CaptainCook4D 28_26 4 ""Cut avocado into thin slices""",CaptainCook4D,28_26,4.0,"""Cut avocado into thin slices""","""Cut avocado into thin slices""",1.0,1.5,1.5,0.6666666667,3.0,4.0,0.3333333333,D (100%),3.333333333,,,,,0.0,
"CaptainCook4D 28_26 5 ""Press the sauce bottle tightly to spill 1 tsp Sriracha sauce to the bowl""",CaptainCook4D,28_26,5.0,"""Add 1/4 cup mayonnaise to the bowl""","""Press the sauce bottle tightly to spill 1 tsp Sriracha sauce to the bowl""",0.0,3.5,2.25,0.3333333333,2.666666667,4.333333333,0.0,"WE (67%), T (33%)",3.666666667,,,,,0.0,
"CaptainCook4D 28_26 8 ""Place avocado slices on each leaf""",CaptainCook4D,28_26,8.0,"""Add 1 tsp Sriracha sauce to the bowl""","""Place avocado slices on each leaf""",1.0,1.75,1.25,0.3333333333,2.666666667,4.666666667,0.0,D (100%),2.333333333,,,,,0.0,
"CaptainCook4D 28_26 9 ""Drop while adding chopped scallions to the bowl""",CaptainCook4D,28_26,9.0,"""Add chopped scallion to the bowl""","""Drop while adding chopped scallions to the bowl""",0.0,3.5,2.75,0.0,2.666666667,4.666666667,0.0,WE (100%),3.666666667,,,,,0.0,
"CaptainCook4D 28_26 14 ""Top lettuce leaves with the tuna mixture""",CaptainCook4D,28_26,14.0,"""Top lettuce leaves with the tuna mixture""","""Top lettuce leaves with the tuna mixture""",1.0,1.0,1.0,0.6666666667,3.0,4.0,0.3333333333,D (100%),2.333333333,,,,,0.0,
"CaptainCook4D 28_26 15 ""Roll up the lettuce wraps to spill the inside contents outside""",CaptainCook4D,28_26,15.0,"""Roll up the lettuce wraps""","""Roll up the lettuce wraps to spill the inside contents outside""",1.0,1.25,1.0,0.3333333333,2.333333333,4.0,0.3333333333,"S (33%), WE (67%)",1.666666667,,,,,0.0,
CaptainCook4D 29_5 0 29_5,CaptainCook4D,29_5,0.0,29_6,29_5,,,,,,,,,,4.333333333,,,,0.0,
"CaptainCook4D 29_5 4 ""Brush 2 slices of baguette with olive oil on both sides using a wooden spoon instead of a brush""",CaptainCook4D,29_5,4.0,"""Brush 2 slices of baguette with olive oil on both sides""","""Brush 2 slices of baguette with olive oil on both sides using a wooden spoon instead of a brush""",1.0,1.75,1.25,0.0,3.0,4.666666667,0.0,WE (100%),4.333333333,,,,,0.0,
Ego-Exo4D-Qwen sfu_covid_002_10 12 Read the test instruction sheet,Ego-Exo4D-Qwen,sfu_covid_002_10,12.0,Read the test instruction sheet,Read the test instruction sheet,0.25,4.0,2.0,0.0,3.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen sfu_covid_002_10 17 Apply few drops of test solution into the test indicator,Ego-Exo4D-Qwen,sfu_covid_002_10,17.0,Read instruction sheet,Apply few drops of test solution into the test indicator,0.75,1.25,1.333333333,0.6666666667,2.666666667,3.666666667,0.0,"D (33%), T (67%)",,,,,,0.0,
Ego-Exo4D-Qwen sfu_covid_002_10 22 Apply few drops of test solution into the test indicator,Ego-Exo4D-Qwen,sfu_covid_002_10,22.0,Apply few drops of test solution into the test indicator,Apply few drops of test solution into the test indicator,1.0,1.0,1.0,0.5,2.0,4.0,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen sfu_covid_002_10 23 Arrange test materials on the table for disposal,Ego-Exo4D-Qwen,sfu_covid_002_10,23.0,Arrange test materials on the table for disposal,Arrange test materials on the table for disposal,0.5,4.0,2.5,0.0,3.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen georgiatech_covid_18_10 8 Insert the tip of the test swab into the left nostril,Ego-Exo4D-Qwen,georgiatech_covid_18_10,8.0,Insert the tip of the test swab into the right nostril,Insert the tip of the test swab into the left nostril,1.0,5.0,4.0,0.5,3.0,4.0,0.5,"S (50%), WE (50%)",,,,,,0.0,
Ego-Exo4D-Qwen nus_covidtest_36_2 5 Place the test tube in an erect position on the table,Ego-Exo4D-Qwen,nus_covidtest_36_2,5.0,Place the test tube in an erect position on the covid test box,Place the test tube in an erect position on the table,1.0,2.5,1.5,0.0,3.0,5.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen nus_covidtest_15_2 5 Return the instruction sheet into the covid test kit box,Ego-Exo4D-Qwen,nus_covidtest_15_2,5.0,Return the instruction sheet into the covid test kit box,Return the instruction sheet into the covid test kit box,0.3333333333,4.0,2.0,0.0,3.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen cmu_bike15_3 12 Check if the tire is properly aligned with the wheel rim,Ego-Exo4D-Qwen,cmu_bike15_3,12.0,,Check if the tire is properly aligned with the wheel rim,0.3333333333,5.0,2.0,0.0,3.0,5.0,0.0,I (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_bike_06_11 7 Inflate the inner tube a little with a pump instead of an air compressor,Ego-Exo4D-Qwen,fair_bike_06_11,7.0,Inflate the inner tube a little with an air compressor,Inflate the inner tube a little with a pump instead of an air compressor,0.3333333333,4.0,2.0,0.0,3.0,5.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_bike_06_15 6 fix the tire to the bicycle wheel,Ego-Exo4D-Qwen,fair_bike_06_15,6.0,fix the tire to the bicycle wheel,fix the tire to the bicycle wheel,0.5,3.0,1.0,1.0,1.0,3.0,1.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen georgiatech_bike_09_8 8 Check if the nuts are loose enough to remove the wheel.,Ego-Exo4D-Qwen,georgiatech_bike_09_8,8.0,,Check if the nuts are loose enough to remove the wheel.,0.5,3.0,1.5,0.0,3.0,5.0,0.0,I (100%),,,,,,0.0,
Ego-Exo4D-Qwen cmu_bike16_cmu_bike16_2 2 Check if the nut is loose enough before removing the wheel,Ego-Exo4D-Qwen,cmu_bike16_cmu_bike16_2,2.0,,Check if the nut is loose enough before removing the wheel,0.0,4.0,2.0,0.0,3.0,5.0,0.0,I (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_bike_06_6 1 loosen the bolts of the brake caliper with a tripod wrench,Ego-Exo4D-Qwen,fair_bike_06_6,1.0,loosen the nuts of the derailleur with a tripod wrench,loosen the bolts of the brake caliper with a tripod wrench,1.0,2.0,1.5,0.5,2.5,3.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen cmu_bike14_4 1 Get a wrench from the tool stand,Ego-Exo4D-Qwen,cmu_bike14_4,1.0,Tighten the both axle nuts with hand,Get a wrench from the tool stand,0.0,4.0,2.0,0.0,3.0,5.0,0.0,T (100%),,,,,,0.0,
Ego-Exo4D-Qwen cmu_bike14_4 2 Tighten the both axle nuts with hand,Ego-Exo4D-Qwen,cmu_bike14_4,2.0,Get a wrench from the tool stand,Tighten the both axle nuts with hand,0.5,4.0,2.0,0.0,3.0,5.0,0.0,T (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_bike_07_12 3 Tighten only one axle nut using a socket wrench,Ego-Exo4D-Qwen,fair_bike_07_12,3.0,Tighten both axle nuts using a socket wrench,Tighten only one axle nut using a socket wrench,1.0,3.0,2.0,0.0,2.0,5.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen georgiatech_bike_18_4 3 Check the bicycle hand brake.,Ego-Exo4D-Qwen,georgiatech_bike_18_4,3.0,Check the bicycle hand brake.,Check the bicycle hand brake.,1.0,4.0,2.5,0.0,3.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen georgiatech_bike_19_10 5 Check the chain for any missed spots and reapply lube if necessary,Ego-Exo4D-Qwen,georgiatech_bike_19_10,5.0,,Check the chain for any missed spots and reapply lube if necessary,0.5,3.0,3.0,0.0,2.0,5.0,0.0,I (100%),,,,,,0.0,
Ego-Exo4D-Qwen indiana_bike_03_1 2 Get the chain lube from the table,Ego-Exo4D-Qwen,indiana_bike_03_1,2.0,Get the chain lube from the floor,Get the chain lube from the table,0.5,3.0,2.0,0.0,3.0,5.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen indiana_bike_03_1 4 Wipe the excess lube with a cloth.,Ego-Exo4D-Qwen,indiana_bike_03_1,4.0,,Wipe the excess lube with a cloth.,0.0,5.0,2.0,0.0,3.0,5.0,0.0,I (100%),,,,,,0.0,
Ego-Exo4D-Qwen nus_cpr_15_1 5 compress the chest of the patient with hand,Ego-Exo4D-Qwen,nus_cpr_15_1,5.0,compress the chest of the patient with hand,compress the chest of the patient with hand,1.0,2.0,1.5,0.5,2.5,4.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen nus_cpr_29_2 7 press down on the patient's chest at a slightly inconsistent rate,Ego-Exo4D-Qwen,nus_cpr_29_2,7.0,press down on the patient's chest at a consistent rate,press down on the patient's chest at a slightly inconsistent rate,1.0,4.5,3.5,0.0,3.0,5.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen utokyo_cpr_2005_32_4 6 Call for assistance,Ego-Exo4D-Qwen,utokyo_cpr_2005_32_4,6.0,Call for assistances,Call for assistance,0.0,,,,,,,,,,,,,0.0,
Ego-Exo4D-Qwen sfu_cooking015_4 10 Whisk egg until it is well integrated and add pepper.,Ego-Exo4D-Qwen,sfu_cooking015_4,10.0,Whisk egg until it is well integrated,Whisk egg until it is well integrated and add pepper.,0.0,1.0,2.0,0.0,3.0,5.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen minnesota_cooking_060_2 6 Add butter to skillet with a spoon,Ego-Exo4D-Qwen,minnesota_cooking_060_2,6.0,Add butter to skillet with a knife,Add butter to skillet with a spoon,1.0,4.0,1.5,0.5,2.5,4.5,0.5,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen minnesota_cooking_060_2 19 Pour egg mixture into a skillet,Ego-Exo4D-Qwen,minnesota_cooking_060_2,19.0,Stir the butter in the skillet with a spatula,Pour egg mixture into a skillet,0.5,5.0,3.5,0.0,3.0,5.0,0.0,T (100%),,,,,,0.0,
Ego-Exo4D-Qwen minnesota_cooking_060_2 20 Stir the butter in the skillet with a spatula,Ego-Exo4D-Qwen,minnesota_cooking_060_2,20.0,Pour egg mixture into a skillet,Stir the butter in the skillet with a spatula,0.5,3.0,2.0,0.5,2.5,4.0,0.5,T (100%),,,,,,0.0,
Ego-Exo4D-Qwen sfu_cooking026_4 1 Turn the stove knob to adjust the stove heat to high.,Ego-Exo4D-Qwen,sfu_cooking026_4,1.0,Turn the stove knob to adjust the stove heat,Turn the stove knob to adjust the stove heat to high.,0.5,4.0,4.0,0.0,2.5,5.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen sfu_cooking026_4 2 Move the spatula across the bottom and side of the frying pan.,Ego-Exo4D-Qwen,sfu_cooking026_4,2.0,Move the spatula across the bottom and side of the frying pan,Move the spatula across the bottom and side of the frying pan.,0.0,,,,,,,,,,,,,0.0,
Ego-Exo4D-Qwen sfu_cooking026_4 3 Transfer the scrambled eggs from the frying pan to a plate.,Ego-Exo4D-Qwen,sfu_cooking026_4,3.0,Transfer the scrambled eggs from the frying pan to a plate,Transfer the scrambled eggs from the frying pan to a plate.,0.0,,,,,,,,,,,,,0.0,
Ego-Exo4D-Qwen iiith_cooking_32_1 5 Put the cooking oil container on the countertop,Ego-Exo4D-Qwen,iiith_cooking_32_1,5.0,Put the cooking oil container on the cabinet,Put the cooking oil container on the countertop,0.3333333333,4.0,3.0,0.0,3.0,5.0,0.0,WE (100%),,,,,,0.0,
Ego-Exo4D-Qwen iiith_cooking_32_1 6 Get a chopping board from a rack,Ego-Exo4D-Qwen,iiith_cooking_32_1,6.0,Get a chopping board from a rack,Get a chopping board from a rack,1.0,2.0,1.0,0.5,1.5,3.5,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen iiith_cooking_32_1 7 Get onion from the cabinet,Ego-Exo4D-Qwen,iiith_cooking_32_1,7.0,Get onion from the cabinet,Get onion from the cabinet,1.0,2.0,1.0,1.0,2.0,3.0,1.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen iiith_cooking_32_1 8 Get green chilies from the cabinet,Ego-Exo4D-Qwen,iiith_cooking_32_1,8.0,Get green chilies from the cabinet,Get green chilies from the cabinet,1.0,2.0,1.0,1.0,2.0,3.0,1.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen iiith_cooking_32_1 9 Cut onions on the chopping board with knife,Ego-Exo4D-Qwen,iiith_cooking_32_1,9.0,Cut onions on the chopping board with knife,Cut onions on the chopping board with knife,1.0,2.0,1.0,1.0,2.0,3.0,1.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen iiith_cooking_32_1 10 Cut green chilies on the chopping board with knife,Ego-Exo4D-Qwen,iiith_cooking_32_1,10.0,Cut green chilies on the chopping board with knife,Cut green chilies on the chopping board with knife,1.0,2.0,1.0,1.0,2.0,3.0,1.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen iiith_cooking_79_2 15 Add salt to a mixing bowl,Ego-Exo4D-Qwen,iiith_cooking_79_2,15.0,,Add salt to a mixing bowl,0.6666666667,2.5,2.0,0.5,2.0,3.0,0.0,I (100%),,,,,,0.0,
Ego-Exo4D-Qwen sfu_cooking029_8 19 Check if the omelet is cooked well,Ego-Exo4D-Qwen,sfu_cooking029_8,19.0,,Check if the omelet is cooked well,0.0,5.0,4.0,0.0,2.0,5.0,0.0,I (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_2 3 Get a napkin from the countertop,Ego-Exo4D-Qwen,fair_cooking_05_2,3.0,Get a napkin from the countertop,Get a napkin from the countertop,0.3333333333,5.0,2.0,0.0,3.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_2 7 Stir the noodles in the pot with a spoon,Ego-Exo4D-Qwen,fair_cooking_05_2,7.0,Turn the stove knob to regulate the heat,Stir the noodles in the pot with a spoon,0.0,5.0,1.0,0.0,3.0,5.0,0.0,S (100%),,,,,,0.0,
"Ego-Exo4D-Qwen fair_cooking_05_2 32 Add spring onion, celeries and garlic to the skillet",Ego-Exo4D-Qwen,fair_cooking_05_2,32.0,Add spring onion,"Add spring onion, celeries and garlic to the skillet",0.5,2.5,1.5,0.5,3.0,4.5,0.0,"S (50%), WE (50%)",,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 4 Place the spoon on the chopping board,Ego-Exo4D-Qwen,fair_cooking_05_6,4.0,Place the spoon on the chopping board,Place the spoon on the chopping board,0.3333333333,4.0,2.0,0.0,3.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 7 Clean hand with the napkin,Ego-Exo4D-Qwen,fair_cooking_05_6,7.0,Clean hand with the napkin,Clean hand with the napkin,0.3333333333,5.0,1.0,0.0,3.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 13 Stir the noodles in the pot with a spoon,Ego-Exo4D-Qwen,fair_cooking_05_6,13.0,Place the spoon on the chopping board,Stir the noodles in the pot with a spoon,0.5,3.0,1.0,0.5,2.5,4.0,0.0,S (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 15 Get garlic cloves,Ego-Exo4D-Qwen,fair_cooking_05_6,15.0,Get garlic cloves,Get garlic cloves,1.0,2.5,1.0,0.5,2.5,3.5,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 16 Clean hands with the napkin,Ego-Exo4D-Qwen,fair_cooking_05_6,16.0,Clean hands with the napkin,Clean hands with the napkin,0.5,4.0,1.0,0.0,2.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 17 Slice the mustard leaves with the knife,Ego-Exo4D-Qwen,fair_cooking_05_6,17.0,Slice the mustard leaves with the knife,Slice the mustard leaves with the knife,1.0,2.5,1.0,0.5,2.5,3.5,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 18 Add sliced mustard leaves to the tray,Ego-Exo4D-Qwen,fair_cooking_05_6,18.0,Add sliced mustard leaves to the tray,Add sliced mustard leaves to the tray,1.0,2.5,1.0,0.5,2.5,3.5,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 19 Slice the mustard leaves with the knife,Ego-Exo4D-Qwen,fair_cooking_05_6,19.0,Slice the mustard leaves with the knife,Slice the mustard leaves with the knife,1.0,2.5,1.0,0.5,2.5,3.5,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 20 Add sliced mustard leaves to the tray,Ego-Exo4D-Qwen,fair_cooking_05_6,20.0,Add sliced mustard leaves to the tray,Add sliced mustard leaves to the tray,1.0,2.5,1.0,0.5,2.5,3.5,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 21 Peel the garlic cloves skin with the knife,Ego-Exo4D-Qwen,fair_cooking_05_6,21.0,Peel the garlic cloves skin with the knife,Peel the garlic cloves skin with the knife,1.0,2.5,1.0,0.5,2.5,3.5,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 22 Dice the garlic cloves with the knife,Ego-Exo4D-Qwen,fair_cooking_05_6,22.0,Dice the garlic cloves with the knife,Dice the garlic cloves with the knife,1.0,2.5,1.0,0.5,2.5,3.5,0.5,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 23 Clean hands with the napkin,Ego-Exo4D-Qwen,fair_cooking_05_6,23.0,Clean hands with the napkin,Clean hands with the napkin,0.5,4.0,2.0,0.0,2.0,5.0,0.0,D (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 26 Stir the noodles in the pot with a spoon,Ego-Exo4D-Qwen,fair_cooking_05_6,26.0,Place the spoon on the chopping board,Stir the noodles in the pot with a spoon,0.0,4.0,1.0,0.0,3.0,5.0,0.0,S (100%),,,,,,0.0,
Ego-Exo4D-Qwen fair_cooking_05_6 27 Dispose the garlic cloves skin,Ego-Exo4D-Qwen,fair_cooking_05_6,27.0,Dispose the garlic cloves skin,Dispose the garlic cloves skin,1.0,2.5,1.5,0.5,2.5,3.5,0.5,D (100%),,,,,,0.0,
